"Race_Name","BG_Name","class","Class_Name","subclass","Level","Proficiency","HP","skills","weapons","Spell_Name","Casting_Time","choices","C_Name","PI_ID","PI_Name","Armor_Class","Story","Job","Characteristics","Ability","Training","Eq_Name","Price","Usage","Size","Language","Abilities","Traits","Components","Duration","Speed"
"High Elf","Acolyte","Sorcerer 1","Sorcerer","Draconic Bloodline",1,NA,9,"Arcana|Religion|Insight|Perception|Persuasion","Handaxe|Dagger",NA,"Cha",NA,"determined_perlman",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stout Halfling","Outlander","Monk 5","Monk","Way of the Four Elements",5,NA,35,"Athletics|Acrobatics|Stealth|Survival","Shortsword|Dart|Unarmed strike",NA,"Int","elemental disciplines/Fist of Unbroken Air","xenodochial_taussig",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Ex-Cultist","Warlock 1","Warlock","The Hexblade",1,"Medium Armor Master",10,"Acrobatics|Stealth|Arcana|Deception|Persuasion","Crossbow, light|Dagger|Quarterstaff","Eldritch Blast*0|Mage Hand*0|Hex*1|Shield*1","Cha",NA,"admiring_northcutt",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Variant","Outlander","Bard 2|Warlock 1","Bard|Warlock","|The Hexblade",3,NA,27,"Athletics|Acrobatics|Insight|Survival|Performance","Hexblade Longsword|Dagger","Dancing Lights*0|Eldritch Blast*0|Shield*1|Armor of Agathys*1|Fairie Fire (1/day)*1|Fairie Fire*1","Cha",NA,"kind_thompson",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dragonborn","Urban Bounty Hunter","Ranger 1","Ranger",NA,1,NA,12,"Stealth|Nature|Animal Handling|Insight|Survival","Shortsword|Longbow",NA,"Wis","draconic ancestry/Green","dazzling_neumann",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scourge Aasimar","Soldier","Paladin 5","Paladin","Oath of Conquest",5,NA,49,"Athletics|Insight|Intimidation|Persuasion","Warhammer|Javelin","Light*0|Armor of Frost*1|Command*1|Bless*1|Wrathful Smite*1|Shield Of Faith*1|Hold Person*2|Spiritual Weapon*2|Find Steed*2","Cha","fighting style/Defense","objective_mcnulty",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"High Elf","Urban Bounty Hunter","Paladin 5|Sorcerer 1","Paladin|Sorcerer","Oath of Vengeance|Draconic Bloodline",6,NA,56,"Athletics|Religion|Insight|Perception|Persuasion","Halberd|Javelin","Bane*1|Hunter<U+0092>s Mark*1|Hold Person*2|Misty Step*2","Cha","fighting style/Great Weapon Fighting","blissful_newton",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Noble","Warlock 5","Warlock","The Celestial",5,"Spell Sniper",44,"Arcana|History|Deception|Persuasion","Dagger|Dagger|Eldritch Blast|Hellish Rebuke (Dex Save 1/2)","Light*0|Sacred Flame*0|Thaumaturgy*0|Eldritch Blast*0|Chill Touch*0|Shocking Grasp*0|Minor Illusion*0|Cure Wounds*1|Hex*1|Guiding Bolt*1|Hellish Rebuke (1/day)*1|Rod Use (1/day)*1|Misty Step*2|Spiritual Weapon*2|Counterspell*3","Cha","pact boon/Pact of the Chain|eldritch invocations/Agonizing Blast*Gift of the Ever-Living Ones*Voice of the Chain Master","awesome_albattani",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Urchin","Warlock 1","Warlock","The Fiend",1,NA,10,"Sleight of Hand|Stealth|Arcana|Investigation","Crossbow, light|Dagger|Quarterstaff|Staff 2 Hand","Blade Ward*0|Eldritch Blast*0|Burning Hands*1|Hellish Rebuke*1","Cha",NA,"hopeful_varahamihira",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fire Genasi","Urban Bounty Hunter","Fighter 6","Fighter","Eldritch Knight",6,NA,58,"Stealth|Perception|Survival|Persuasion","Longsword|Shortsword|Handaxe","Produce Flame *0|Firebolt*0|Poison Spray*0|Disguise Self *1|Thunderwave*1|Protection From Evil*1|Absorb Elements*1","Int","fighting style/Two-Weapon Fighting","wizardly_elgamal",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Orc","Charlatan","Bard 1","Bard",NA,1,NA,10,"Sleight of Hand|Animal Handling|Insight|Deception|Intimidation|Performance","Rapier|Dagger","Vicious Mockery *0|Thunderclap *0|Dissonant Whispers *1|Earth Tremor *1|Sleep *1|Speak with Animals *1","Cha",NA,"recursing_antonelli",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood Elf","Barbarian Tribe Member","Ranger 5","Ranger","Beast Master",5,NA,35,"Athletics|Nature|Animal Handling|Insight|Perception|Survival","Shortsword|Longbow",NA,"Wis","fighting style/Archery","cool_goldberg",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Criminal","Monk 3","Monk","Way of the Open Hand",3,"Prodigy",24,"Athletics|Acrobatics|Sleight of Hand|Stealth|Insight|Perception","Shortsword|Dart|Unarmed strike",NA,"Int","expertise/Athletics","brave_booth",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill Dwarf","Entertainer","Bard 1","Bard",NA,1,NA,11,"Acrobatics|Arcana|Insight|Performance|Persuasion","Rapier|Dagger",NA,"Cha",NA,"eager_hodgkin",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Criminal","Sorcerer 1","Sorcerer","Draconic Bloodline",1,NA,9,"Stealth|Deception|Intimidation|Persuasion","Quarterstaff|Dagger","Firebolt*0|Prestidigitation*0|Ray Of Frost*0|Acid Splash*0|Chromatic Orb*1|Magic Missile*1","Cha",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood Elf","Hermit","Monk 1","Monk",NA,1,NA,9,"Acrobatics|Religion|Insight|Medicine|Perception","Shortsword|Dart|Unarmed strike",NA,"Int",NA,"sad_leavitt",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenku","Acolyte","Monk 1","Monk",NA,1,NA,9,"Acrobatics|Stealth|History|Religion|Insight|Deception","Quarterstaff|Dart|Unarmed strike",NA,"Int",NA,"upbeat_germain",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orc","Soldier","Fighter 2","Fighter",NA,2,NA,20,"Athletics|Acrobatics|Insight|Perception|Survival|Intimidation","Flail|Shortsword|Crossbow, light",NA,"Int","fighting style/Two-Weapon Fighting","crazy_curie",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bugbear","Acolyte","Wizard 2","Wizard","School of Enchantment",2,NA,8,"Stealth|Arcana|Religion|Insight|Medicine","Quarterstaff",NA,"Int",NA,"serene_mayer",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Forest Gnome","Sage","Wizard 3","Wizard","School of Divination",3,NA,21,"Arcana|History|Investigation|Religion","Dagger",NA,"Int",NA,"wizardly_nash",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warforged","Entertainer","Paladin 2|Bard 6","Paladin|Bard","|College of Swords",8,NA,62,"Athletics|Acrobatics|History|Insight|Performance|Persuasion","Battleaxe|Javelin|Unarmed strike|Scimitar|Bob Larry Slam","Vicious Mockery*0|Mending*0|Message*0|Bless*1|Ceremony*1|Command*1|Compelled Duel*1|Cure Wounds*1|Detect Evil And Good*1|Detect Magic*1|Detect Poison And Disease*1|Divine Favor*1|Heroism*1|Protection From Evil And Good*1|Searing Smite*1|Thunderous Smite*1|Wrathful Smite*1|Shield Of Faith*1|Purify Food And Drink*1|Healing Word*1|Feather Fall*1|Dissonant Whispers*1|Tasha's Hideous Laughter*1|Zone Of Truth*2|Warding Wind*2|Phantasmal Force*2|Tongues*3|Enemies Abound*3","Cha","fighting style/Protection*Dueling|expertise/Insight*History","bold_napier",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Criminal","Fighter 1","Fighter",NA,1,"Crossbow Expert",13,"Acrobatics|Stealth|Insight|Perception|Deception","Longbow|Crossbow, hand|Rapier|Handaxe",NA,"Int","fighting style/Archery","cocky_jepsen",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill Dwarf","Sailor","Monk 1","Monk",NA,1,NA,8,"Athletics|Acrobatics|Insight|Perception","Spear|Dart|Unarmed strike",NA,"Int",NA,"nifty_ishizaka",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood Elf","Outlander","Ranger 4","Ranger","Hunter",4,"Sharpshooter",22,"Acrobatics|Stealth|Investigation|Animal Handling|Perception|Survival","Shortsword|Longbow","Hunters Mark*1|Cure Wounds*1|Animal Friendship*1","Wis","fighting style/Archery","laughing_wing",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Cloistered Scholar","Warlock 4","Warlock","The Fiend",4,"Spell Sniper",21,"Arcana|History|Deception|Intimidation","Crossbow, light|Quarterstaff|Dagger","Eldritch Blast*0|Mage Hand*0|Prestidigitation*0|Thaumaturgy*0|Hex*1|Burning Hands*1|Hellish Rebuke*1|Find Familiar*1|Scorching Ray*2|Blindness/Deafness*2","Cha","pact boon/Pact of the Chain|eldritch invocations/Agonizing Blast*Voice of the Chain Master","objective_bell",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Folk Hero","Fighter 4","Fighter","Champion",4,"Dual Wielder",28,"Athletics|Animal Handling|Survival|Intimidation","Longsword|Longsword|Handaxe",NA,"Int","fighting style/Two-Weapon Fighting","focused_nightingale",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
