"ip","finger","hash","name","race","background","date","class","justClass","subclass","level","feats","HP","AC","Str","Dex","Con","Int","Wis","Cha","alignment","skills","weapons","spells","castingStat","choices","country","countryCode","processedAlignment","good","lawful","processedRace","processedSpells","processedWeapons","levelGroup","alias"
"1750997","dbed696","adf0ba9ebf638cc1de9ba92c6390c358","48d2b3b","High Elf","Acolyte",2020-03-14 15:26:25,"Sorcerer 1","Sorcerer","Draconic Bloodline",1,NA,9,15,16,15,14,13,9,16,NA,"Arcana|Religion|Insight|Perception|Persuasion","Handaxe|Dagger",NA,"Cha",NA,"United States","US",NA,NA,NA,"Elf",NA,"Handaxe|Dagger","1-3","determined_perlman"
"fb3dd53","1347a90","4bd2fd76c10c792fb3f574f9e51d0c8e","871aa48","Stout Halfling","Outlander",2020-03-14 14:56:39,"Monk 5","Monk","Way of the Four Elements",5,NA,35,16,10,20,13,10,13,10,"Chaotic good","Athletics|Acrobatics|Stealth|Survival","Shortsword|Dart|Unarmed strike",NA,"Int","elemental disciplines/Fist of Unbroken Air","United States","US","CG",NA,NA,"Halfling",NA,"Shortsword|Dart|Unarmed Strike","4-7","xenodochial_taussig"
"468c9a9","fceb6d7","3e96054dad25136d4712342c36fd8186","e27f6e9","Human","Ex-Cultist",2020-03-14 11:35:21,"Warlock 1","Warlock","The Hexblade",1,"Medium Armor Master",10,14,8,16,14,10,8,16,"Neutral","Acrobatics|Stealth|Arcana|Deception|Persuasion","Crossbow, light|Dagger|Quarterstaff","Eldritch Blast*0|Mage Hand*0|Hex*1|Shield*1","Cha",NA,"United States","US","NN",NA,NA,"Human","Eldritch Blast*0|Mage Hand*0|Hex*1|Shield*1","Crossbow, Light|Dagger|Quarterstaff","1-3","admiring_northcutt"
"e3f4143","f5f93b6","1907886a75c0d6f0535340cc6d94f907","7d58af9","Variant","Outlander",2020-03-14 00:45:25,"Bard 2|Warlock 1","Bard|Warlock","|The Hexblade",3,NA,27,14,10,17,16,14,16,18,"Neutral Good","Athletics|Acrobatics|Insight|Survival|Performance","Hexblade Longsword|Dagger","Dancing Lights*0|Eldritch Blast*0|Shield*1|Armor of Agathys*1|Fairie Fire (1/day)*1|Fairie Fire*1","Cha",NA,"United States","US","NG",NA,NA,"Half-Elf","Dancing Lights*0|Eldritch Blast*0|Shield*1|Armor of Agathys*1|Faerie Fire*1|Faerie Fire*1","Longsword|Dagger","1-3","kind_thompson"
"cfc1394","1bc4f1b","17e87f77ceb5ee7c9665899db727dd5a","b0f83b2","Dragonborn","Urban Bounty Hunter",2020-03-14 00:27:39,"Ranger 1","Ranger",NA,1,NA,12,16,10,15,14,13,13,10,"true neutral","Stealth|Nature|Animal Handling|Insight|Survival","Shortsword|Longbow",NA,"Wis","draconic ancestry/Green","United States","US","NN",NA,NA,"Dragonborn",NA,"Shortsword|Longbow","1-3","dazzling_neumann"
"eb2adf5","83e35f7","a962e07dcf9c1f439f583c8ad106c1d8","481ce66","Scourge Aasimar","Soldier",2020-03-13 19:32:15,"Paladin 5","Paladin","Oath of Conquest",5,NA,49,19,16,10,16,8,10,16,"Lawful Neutral","Athletics|Insight|Intimidation|Persuasion","Warhammer|Javelin","Light*0|Armor of Frost*1|Command*1|Bless*1|Wrathful Smite*1|Shield Of Faith*1|Hold Person*2|Spiritual Weapon*2|Find Steed*2","Cha","fighting style/Defense","Brazil","BR","LN",NA,NA,"Aasimar","Light*0|*|Command*1|Bless*1|Wrathful Smite*1|Shield of Faith*1|Hold Person*2|Spiritual Weapon*2|Find Steed*2","Warhammer|Javelin","4-7","objective_mcnulty"
"147618d","9e69dab","4928eff63f80896ef50101227ebf1daa","cdbe721","High Elf","Urban Bounty Hunter",2020-03-13 16:44:42,"Paladin 5|Sorcerer 1","Paladin|Sorcerer","Oath of Vengeance|Draconic Bloodline",6,NA,56,13,18,15,15,6,11,16,NA,"Athletics|Religion|Insight|Perception|Persuasion","Halberd|Javelin","Bane*1|Hunter<U+0092>s Mark*1|Hold Person*2|Misty Step*2","Cha","fighting style/Great Weapon Fighting","Canada","CA",NA,NA,NA,"Elf","Bane*1|Hunter's Mark*1|Hold Person*2|Misty Step*2","Halberd|Javelin","4-7","blissful_newton"
"92cdfde","f5f93b6","05614348eeb285496c96594c79dd6253","e1c9573","Tiefling","Noble",2020-03-13 13:26:23,"Warlock 5","Warlock","The Celestial",5,"Spell Sniper",44,14,10,16,14,12,12,20,"Lawful Good","Arcana|History|Deception|Persuasion","Dagger|Dagger|Eldritch Blast|Hellish Rebuke (Dex Save 1/2)","Light*0|Sacred Flame*0|Thaumaturgy*0|Eldritch Blast*0|Chill Touch*0|Shocking Grasp*0|Minor Illusion*0|Cure Wounds*1|Hex*1|Guiding Bolt*1|Hellish Rebuke (1/day)*1|Rod Use (1/day)*1|Misty Step*2|Spiritual Weapon*2|Counterspell*3","Cha","pact boon/Pact of the Chain|eldritch invocations/Agonizing Blast*Gift of the Ever-Living Ones*Voice of the Chain Master","United States","US","LG",NA,NA,"Tiefling","Light*0|Sacred Flame*0|Thaumaturgy*0|Eldritch Blast*0|Chill Touch*0|Shocking Grasp*0|Minor Illusion*0|Cure Wounds*1|Hex*1|Guiding Bolt*1|Hellish Rebuke*1|*|Misty Step*2|Spiritual Weapon*2|Counterspell*3","Dagger|Dagger||","4-7","awesome_albattani"
"1487e41","3522859","82e37f178b8aea304cb12a01c8e501d5","26a5a59","Tiefling","Urchin",2020-03-13 13:18:25,"Warlock 1","Warlock","The Fiend",1,NA,10,12,10,12,15,14,8,16,NA,"Sleight of Hand|Stealth|Arcana|Investigation","Crossbow, light|Dagger|Quarterstaff|Staff 2 Hand","Blade Ward*0|Eldritch Blast*0|Burning Hands*1|Hellish Rebuke*1","Cha",NA,"Canada","CA",NA,NA,NA,"Tiefling","Blade Ward*0|Eldritch Blast*0|Burning Hands*1|Hellish Rebuke*1","Crossbow, Light|Dagger|Quarterstaff|","1-3","hopeful_varahamihira"
"f12a1cd","f3f3a16","070d62a4493bf08f21da67e967e3088f","9bdc98f","Fire Genasi","Urban Bounty Hunter",2020-03-13 12:57:24,"Fighter 6","Fighter","Eldritch Knight",6,NA,58,16,18,13,17,19,9,11,NA,"Stealth|Perception|Survival|Persuasion","Longsword|Shortsword|Handaxe","Produce Flame *0|Firebolt*0|Poison Spray*0|Disguise Self *1|Thunderwave*1|Protection From Evil*1|Absorb Elements*1","Int","fighting style/Two-Weapon Fighting","Sweden","SE",NA,NA,NA,"Genasi","Produce Flame*0|Fire Bolt*0|Poison Spray*0|Disguise Self*1|Thunderwave*1|*|Absorb Elements*1","Longsword|Shortsword|Handaxe","4-7","wizardly_elgamal"
