BG_ID,BG_Name,Story,Job,Characteristics
,Acolyte,To be written by player,Rural,Easygoing
,Outlander,To be written by player,Celebrity,Absent-Minded
,Ex-Cultist,To be written by player,Blue Collar,Hardy
,Outlander,To be written by player,Gladiator,Brawler
,Urban Bounty Hunter,To be written by player,Adventurer,Farsighted
,Soldier,To be written by player,Academic, Illiterate
,Urban Bounty Hunter,To be written by player,Entrepreneur,Inattentive
,Noble,To be written by player,Military,Honest
,Urchin,To be written by player,Military,Detached
,Urban Bounty Hunter,To be written by player,Colonist,Abrasiveness
,Charlatan,To be written by player,Hedge Wizard,Brawler
,Barbarian Tribe Member,To be written by player,Novitiate,Suspicious
,Criminal,To be written by player,Creative,Focused
,Entertainer,To be written by player,Doctor,Slow
,Criminal,To be written by player,Hedge Wizard,Inattentive
,Hermit,To be written by player,Shadow Scholar,Inattentive
,Acolyte,To be written by player,Dilettante,Detached
,Soldier,To be written by player,Novitiate,Dishonesty
,Acolyte,To be written by player,Scavenger,Cautious
,Sage,To be written by player,Athlete,Focused
,Entertainer,To be written by player,Colonist,Specialized
,Criminal,To be written by player,Doctor,Polite
,Sailor,To be written by player,Religious,Hardy
,Outlander,To be written by player,Academic, Illiterate
,Cloistered Scholar,To be written by player,Investigative,Suspicious
,Folk Hero,To be written by player,Astronaut Trainee,Cautious
,Outlander,To be written by player,Transporter, Illiterate
,Criminal,To be written by player,Military,Abrasiveness
,Entertainer,To be written by player,White Collar,Distinctive
,Soldier,To be written by player,Criminal,Honest
,Urchin,To be written by player,Blue Collar,Specialized
,Acolyte,To be written by player,Psychic,Easygoing
,Sage,To be written by player,White Collar,Honest
,Sailor,To be written by player,Doctor,Inattentive
,Charlatan,To be written by player,Academic,Distinctive
,Acolyte,To be written by player,Rural,Polite
,Charlatan,To be written by player,Colonist,Detached
,Faction Agent,To be written by player,Aporthecary,Specialized
,Noble,To be written by player,Novitiate,Uncivilized
,Courtier,To be written by player,Drifter,Distinctive
,Far Traveler,To be written by player,Heir,Brawler
,Far Traveler,To be written by player,Investigative,Focused
,Far Traveler,To be written by player,Celebrity,Cautious
,Far Traveler,To be written by player,Creative,Absent-Minded
,Guild Artisan,To be written by player,Entrepreneur,Focused
,Charlatan,To be written by player,Dilettante, Illiterate
,Criminal,To be written by player,White Collar,Uncivilized
,Folk Hero,To be written by player,Heir,Relentless
,Folk Hero,To be written by player,Entrepreneur,Suspicious
,Folk Hero,To be written by player,Student,Hard of hearing
,Urchin,To be written by player,Astronaut Trainee,Abrasiveness
,Sage,To be written by player,Student,Suspicious
,Archaeologist,To be written by player,Blue Collar,Aggression
,Archaeologist,To be written by player,Gladiator,Absent-Minded
,Soldier,To be written by player,Law Enforcement,Hardy
,Baby,To be written by player,Astronaut Trainee,Honest
,Urchin,To be written by player,Astronaut Trainee,Focused
,Sage,To be written by player,Criminal,Polite
,Folk Hero,To be written by player,Doctor,Polite
,Soldat,To be written by player,Gladiator,Honest
,Outlander,To be written by player,Military,Brawler
,Folk Hero,To be written by player,Student,Aggression
,Sailor,To be written by player,Squire,Detached
,Folk Hero,To be written by player,Hedge Wizard,Hard of hearing
,Scharlatan,To be written by player,Religious,Cautious
,Far Traveler,To be written by player,Psychic,Farsighted
,Outlander,To be written by player,Colonist,Relentless
,Sage,To be written by player,Drifter,Dishonesty
,Sailor,To be written by player,Athlete,Relentless
,Custom,To be written by player,Criminal,Specialized
,Custom,To be written by player,Novitiate,Distinctive
,Charlatan,To be written by player,Shadow Scholar,Detached
,Acolyte,To be written by player,Doctor,Slow
,Custom,To be written by player,Novitiate,Detached
