Class_ID,Class_Name,Ability,HP,Training,subclass,Proficiency
,Sorcerer,Diplomacy,9,Sacred Rites,Draconic Bloodline,Actor
,Monk,Athletics,35,Religious Service,Way of the Four Elements,Observent
,Warlock,Heal,10,Crafting an Item,The Hexblade,Medium Armor
,Bard|Warlock,Nature,27,Crime,|The Hexblade,Great Weapon Master
,Ranger,Dungeoneering,12,Religious Service,,Lucky
,Paladin,Bluff,49,Work,Oath of Conquest,Medium Armor
,Paladin|Sorcerer,Endurance,56,Religious Service,Oath of Vengeance|Draconic Bloodline,Polearm Master
,Warlock,Endurance,44,Carousing,The Celestial,Medium Armor
,Warlock,Athletics,10,Selling a Magic Item,The Fiend,Mobile
,Fighter,Thievery,58,Carousing,Eldritch Knight,Elven Accuracy
,Bard,Intimidate,10,Work,,Resilient
,Ranger,Intimidate,35,Research,Beast Master,Defensive Duelist
,Monk,Heal,24,Sowing Rumors,Way of the Open Hand,Actor
,Bard,Athletics,11,Work,,Great Weapon Master
,Sorcerer,Athletics,9,Sowing Rumors,Draconic Bloodline,Spell Sniper
,Monk,Diplomacy,9,Religious Service,,Spell Sniper
,Monk,Nature,9,Carousing,,Elven Accuracy
,Fighter,Diplomacy,20,Tool,,Sentinel
,Wizard,Heal,8,Work,School of Enchantment,Medium Armor
,Wizard,Religion,21,Language,School of Divination,Elven Accuracy
,Paladin|Bard,Heal,62,Buying a Magic Item,|College of Swords,Elven Accuracy
,Fighter,Athletics,13,Buying a Magic Item,,Resilient
,Monk,Heal,8,Selling a Magic Item,,Resilient
,Ranger,Heal,22,Sacred Rites,Hunter,Lucky
,Warlock,Dungeoneering,21,Selling a Magic Item,The Fiend,Sentinel
,Fighter,Streetwise,28,Pit Fighting,Champion,Shield Master
,Barbarian,Endurance,35,Carousing,Path of the Berserker,Crossbow Expert
,Rogue,Dungeoneering,24,Gambling,Scout,Lucky
,Bard,Athletics,24,Crime,College of Lore,Observent
,Paladin,Dungeoneering,28,Carousing,Oath of Ancients,Mobile
,Fighter,Nature,26,Pit Fighting,Battle Master,Alert
,Monk,Athletics,27,Carousing,Way of the Drunken Master,Spell Sniper
,Bard,Streetwise,108,Tool,College of Lore,Alert
,Barbarian,Bluff,80,Gambling,Path of the Storm Herald,Alert
,Rogue,Heal,30,Pit Fighting,Mastermind,War Caster
,Warlock,Bluff,38,Research,The Hexblade,Great Weapon Master
,Rogue,Insight,55,Religious Service,Assassin,Mobile
,Fighter,Athletics,40,Religious Service,Battle Master,Sentinel
,Monk,Bluff,45,Language,Way of the Open Hand,War Caster
,Bard|Warlock,Thievery,45,Tool,College of Glamour|The Archfey,Prodigy
,Sorcerer,Intimidate,30,Relaxation,Wild Magic,Shield Master
,Sorcerer,Religion,30,Research,Wild Magic,Crossbow Expert
,Sorcerer,Insight,30,Stronghold,Wild Magic,Crossbow Expert
,Sorcerer,Bluff,30,Language,Wild Magic,Defensive Duelist
,Rogue,Bluff,51,Crime,Assassin,Dual Wielder
,Wizard|Rogue|Monk|Warlock|Sorcerer|Ranger|Artificer|Paladin|Barbarian|Bard|Cleric|Druid|Fighter,Thievery,6894,Stronghold,War Magic|Assassin|Way of Shadow|The Celestial|Storm Sorcery|Gloom Stalker|Battle Smith|Oath of Devotion|Path of the Zealot|College of Lore|Life Domain|Circle of the Moon|Battle Master,Tough
,Rogue,Streetwise,29,Relaxation,Thief,Actor
,Barbarian,Bluff,41,Selling a Magic Item,Path of the Zealot,Shield Master
,Paladin,Endurance,112,Carousing,Oath of Conquest,Actor
,Fighter|Wizard,Athletics,89,Sacred Rites,Battle Master|,Observent
,Warlock,Bluff,35,Tool,The Great Old One,Prodigy
,Wizard,Endurance,182,Tool,School of Illusion,Great Weapon Master
,Warlock,Insight,31,Tool,The Fiend,Defensive Duelist
,Warlock,Nature,31,Carousing,The Fiend,Spell Sniper
,Fighter|Bard,Stealth,40,Sowing Rumors,|College of Lore,Spell Sniper
,Sorcerer,Bluff,9,Stronghold,Wild Magic,Alert
,Monk|Rogue,Nature,26,Relaxation,|,Shield Master
,Monk,Heal,10,Scribing a Spell Scroll,,Mobile
,Wizard,Arcana,7,Tool,,Elven Accuracy
,Fighter|Druid,Endurance,138,Buying a Magic Item,Battle Master|,Polearm Master
,Ranger,Streetwise,100,Stronghold,Beast Master,Prodigy
,Monk,Intimidate,67,Religious Service,Way of the Open Hand,Elven Accuracy
,Fighter,Arcana,120,Pit Fighting,Eldritch Knight,Dual Wielder
,Sorcerer|Barbarian,Intimidate,146,Relaxation,Draconic Bloodline|Path of the Totem Warrior,Resilient
,Rogue,Streetwise,67,Religious Service,Arcane Trickster,Mobile
,Wizard,Bluff,58,Selling a Magic Item,School of Abjuration,Elven Accuracy
,Fighter,Thievery,100,Sacred Rites,Arcane Archer,Spell Sniper
,Fighter|Wizard,Heal,38,Crime,Eldritch Knight|,Crossbow Expert
,Bard,Arcana,33,Gambling,College of Swords,Sharpshooter
,Monk,Streetwise,10,Language,,Elven Accuracy
,Monk,Streetwise,10,Language,,Spell Sniper
,Rogue|Warlock,Insight,286,Scribing a Spell Scroll,Assassin|The Fiend,Prodigy
,Cleric,Streetwise,11,Selling a Magic Item,Life Domain,Crossbow Expert
,Monk,Dungeoneering,10,Crime,,Observent
,Rogue,Streetwise,59,Work,Inquisitive,Medium Armor
,Monk,Endurance,40,Work,Way of the Open Hand,Defensive Duelist
,Cleric,Religion,25,Research,Forge Domain,Tough
,Monk,Nature,17,Buying a Magic Item,,Spell Sniper
,Barbarian|Fighter|Wizard,Nature,36,Scribing a Spell Scroll,Path of the Totem Warrior||,Lucky
,Cleric,Dungeoneering,9,Sowing Rumors,Life Domain,Sharpshooter
,Sorcerer,Nature,51,Research,Storm Sorcery,Actor
,Sorcerer|Warlock,Heal,49,Buying a Magic Item,Shadow Magic|The Hexblade,Great Weapon Master
,Druid,Insight,35,Sowing Rumors,Circle of the Moon,Dual Wielder
,Ranger,Intimidate,36,Selling a Magic Item,Gloom Stalker,War Caster
,Ranger,Thievery,36,Stronghold,Gloom Stalker,Resilient
,Ranger,Streetwise,36,Religious Service,Gloom Stalker,Polearm Master
,Ranger,Religion,36,Work,Gloom Stalker,Polearm Master
,Ranger,Diplomacy,36,Selling a Magic Item,Gloom Stalker,Great Weapon Master
,Warlock|Sorcerer,Insight,28,Sowing Rumors,The Celestial|Divine Soul,Actor
,Sorcerer,Religion,32,Stronghold,Wild Magic,Tough
,Cleric,Arcana,66,Crime,Life Domain,Great Weapon Master
,Druid,Stealth,103,Crime,Circle of the Moon,Prodigy
,Ranger,Dungeoneering,13,Relaxation,,Lucky
,Fighter,Bluff,22,Pit Fighting,,Resilient
,Sorcerer|Wizard,Arcana,34,Pit Fighting,Divine Soul|School of Divination,Resilient
,Ranger|Sorcerer,Streetwise,37,Research,Hunter|Shadow Magic,Crossbow Expert
,Rogue,Diplomacy,31,Research,Thief,Lucky
,Cleric,Athletics,56,Research,Life Domain,War Caster
,Sorcerer,Insight,31,Buying a Magic Item,Divine Soul,Great Weapon Master
,Ranger,Streetwise,36,Scribing a Spell Scroll,Gloom Stalker,Crossbow Expert
,Warlock,Arcana,52,Buying a Magic Item,The Celestial,Observent
,Rogue,Bluff,30,Research,Mastermind,Lucky
,Fighter,Streetwise,12,Language,,Lucky
,Artificer,Religion,52,Sowing Rumors,Battle Smith,Defensive Duelist
,Cleric,Arcana,99,Relaxation,Life Domain,Great Weapon Master
,Ranger,Diplomacy,13,Selling a Magic Item,,Sentinel
,Druid,Bluff,10,Tool,,Crossbow Expert
,Bard,Athletics,10,Pit Fighting,,Dual Wielder
,Barbarian,Dungeoneering,15,Research,,Resilient
,Druid,Arcana,10,Selling a Magic Item,,Sharpshooter
,Warlock,Dungeoneering,17,Research,The Hexblade,Prodigy
,Ranger,Endurance,36,Carousing,Horizon Walker,Medium Armor
,Ranger|Sorcerer,Insight,68,Pit Fighting,Beast Master|Storm Sorcery,Shield Master
,Warlock,Intimidate,24,Tool,The Celestial,Elven Accuracy
,Wizard,Endurance,33,Stronghold,Bladesinging,War Caster
,Bard,Endurance,24,Gambling,College of Whispers,Defensive Duelist
,Artificer,Religion,138,Scribing a Spell Scroll,Artillerist,Lucky
,Artificer,Diplomacy,144,Selling a Magic Item,Battle Smith,Observent
,Fighter,Arcana,173,Sacred Rites,Battle Master,Medium Armor
,Barbarian,Intimidate,49,Stronghold,Path of the Berserker,War Caster
,Barbarian,Intimidate,14,Scribing a Spell Scroll,,Alert
,Cleric,Stealth,80,Research,Life Domain,Alert
,Rogue|Sorcerer,Intimidate,38,Pit Fighting,Mastermind|Shadow Magic,Prodigy
,Warlock,Intimidate,36,Work,The Undying,Actor
,Wizard,Dungeoneering,41,Language,School of Enchantment,Resilient
,Barbarian,Insight,81,Sowing Rumors,Path of the Battlerager,Observent
,Bard|Barbarian,Arcana,40,Tool,|Path of the Totem Warrior,Sentinel
,Rogue,Intimidate,38,Sowing Rumors,Swashbuckler,Spell Sniper
,Ranger,Athletics,9,Research,,Sentinel
,Bard,Athletics,40,Tool,College of Whispers,Sharpshooter
,Barbarian|Rogue,Nature,61,Relaxation,Path of the Battlerager|,War Caster
,Druid,Dungeoneering,27,Gambling,Circle of the Moon,Medium Armor
,Bard,Diplomacy,19,Work,,Shield Master
,Bard,Intimidate,11,Language,,Crossbow Expert
,Cleric,Intimidate,33,Sowing Rumors,Life Domain,Lucky
,Fighter,Nature,48,Sacred Rites,Battle Master,Spell Sniper
,Ranger,Dungeoneering,11,Sacred Rites,,Great Weapon Master
,Paladin,Insight,62,Gambling,Oath of Vengeance,Actor
,Cleric,Heal,34,Crime,Trickery Domain,Dual Wielder
,Monk|Rogue,Intimidate,26,Research,|,Lucky
,Warlock,Streetwise,19,Buying a Magic Item,The Hexblade,Sharpshooter
,Paladin,Dungeoneering,30,Stronghold,Oath of Vengeance,Spell Sniper
,Barbarian,Nature,39,Relaxation,Path of the Storm Herald,Spell Sniper
,Rogue,Bluff,30,Crafting an Item,Arcane Trickster,Alert
,Warlock|Bard,Diplomacy,32,Selling a Magic Item,The Celestial|,Mobile
,Sorcerer|Warlock,Arcana,111,Sacred Rites,Draconic Bloodline|The Hexblade,Sentinel
,Cleric,Insight,100,Pit Fighting,Trickery Domain,Tough
,Monk,Religion,66,Language,Way of the Open Hand,Elven Accuracy
,Barbarian,Insight,14,Scribing a Spell Scroll,,Actor
,Fighter,Heal,12,Relaxation,,Great Weapon Master
,Cleric|Wizard,Thievery,28,Tool,Forge Domain|,Lucky
,Rogue|Bard,Streetwise,28,Research,|,Spell Sniper
,Sorcerer,Insight,30,Research,Storm Sorcery,Resilient
,Sorcerer|Warlock,Diplomacy,56,Pit Fighting,Shadow Magic|The Hexblade,Medium Armor
,Fighter,Intimidate,44,Tool,Eldritch Knight,Defensive Duelist
,Barbarian,Heal,45,Scribing a Spell Scroll,Path of the Totem Warrior,Alert
,Sorcerer,Heal,30,Crafting an Item,Storm Sorcery,Dual Wielder
