E_ID,Eq_Name,Price
,Bell,787
,Yew Wand,798
,Block and Tackle,881
,Wand,642
,Wand,733
,Wand,29
,Backpack,725
,Weapon,512
,Blowgun Needles,191
,Arrows,72
,Rod,963
,Blowgun Needles,423
,Reliquary,325
,Crystal,905
,Bedroll,807
,Wand,396
,Staff,314
,Wooden Staff,622
,Treasure,308
,Blanket,84
,Barrel,929
,Bedroll,297
,Acid,386
,Backpack,888
,Antitoxin,906
,Armor,961
,Abacus,407
,Totem,685
,Staff,370
,Abacus,363
,Candle,56
,Emblem,412
,Blowgun Needles,475
,Crossbow Bolts,36
,Wooden Staff,56
,Antitoxin,876
,Treasure,900
,Alchemist Fire,173
,Candle,95
,Bedroll,268
,Amulet,359
,Crossbow Bolts,927
,Barrel,822
,Amulet,556
,Abacus,526
,Armor,491
,Backpack,267
,Candle,951
,Emblem,398
,Wooden Staff,825
,Arrows,377
,Crossbow Bolts,860
,Ball Bearings,375
,Crossbow Bolts,143
,Candle,154
,Wooden Staff,841
,Orb,252
,Crossbow Bolts,58
,Emblem,337
,Blowgun Needles,906
,Barrel,752
,Wooden Staff,726
,Blanket,658
,Armor,961
,Antitoxin,802
,Alchemist Fire,564
,Sling Bullets,551
,Amulet,1
,Wooden Staff,954
,Reliquary,847
,Bedroll,580
,Staff,849
,Bell,861
,Backpack,283
,Candle,815
,Backpack,761
,Rod,334
,Bedroll,983
,Ball Bearings,272
,Amulet,648
,Candle,647
,Orb,89
,Orb,789
,Ball Bearings,599
,Crossbow Bolts,432
,Barrel,425
,Block and Tackle,287
,Totem,595
,Armor,756
,Sling Bullets,226
,Staff,223
,Ball Bearings,628
,Bedroll,940
,Armor,45
,Wooden Staff,15
,Reliquary,292
,Spring Mistletoe,892
,Crossbow Bolts,816
,Weapon,414
,Barrel,748
,Crystal,741
,Wooden Staff,431
,Backpack,790
,Wand,766
,Basket,750
,Emblem,343
,Crossbow Bolts,509
,Yew Wand,863
,Barrel,11
,Reliquary,26
,Acid,264
,Weapon,979
,Barrel,190
,Emblem,872
,Spring Mistletoe,891
,Emblem,238
,Ball Bearings,657
,Blanket,481
,Alchemist Fire,386
,Sling Bullets,413
,Sling Bullets,324
,Treasure,80
,Weapon,732
,Ball Bearings,668
,Acid,511
,Acid,884
,Basket,209
,Alchemist Fire,630
,Block and Tackle,122
,Emblem,391
,Wand,919
,Treasure,417
,Abacus,15
,Treasure,839
,Arrows,407
,Barrel,960
,Candle,966
,Basket,368
,Reliquary,397
,Weapon,991
,Reliquary,24
,Candle,340
,Orb,336
,Backpack,648
,Armor,230
,Acid,778
,Spring Mistletoe,143
,Weapon,745
,Wooden Staff,333
,Antitoxin,455
,Barrel,690
,Emblem,107
,Amulet,434
,Alchemist Fire,934
,Wand,322
,Spring Mistletoe,40
,Antitoxin,285
,Backpack,430
,Totem,830
,Staff,756
,Abacus,902
,Weapon,246
,Candle,722
,Orb,31
,Totem,258
,Bell,558
,Basket,184
,Staff,78
,Orb,354
,Block and Tackle,721
,Armor,691
,Totem,343
,Candle,889
,Totem,762
,Weapon,537
,Ball Bearings,964
,Treasure,556
,Yew Wand,361
,Arrows,196
,Armor,757
,Backpack,453
,Rod,413
,Wooden Staff,970
,Rod,788
,Arrows,591
,Staff,276
,Antitoxin,69
,Backpack,735
,Candle,346
,Candle,370
,Blowgun Needles,249
,Bell,831
,Emblem,490
,Crossbow Bolts,805
,Reliquary,137
,Totem,823
,Antitoxin,965
,Candle,283
,Antitoxin,23
,Arrows,130
,Staff,96
,Sling Bullets,87
,Spring Mistletoe,649
,Block and Tackle,304
,Arrows,144
,Orb,629
,Alchemist Fire,415
,Armor,65
,Block and Tackle,789
,Acid,483
,Yew Wand,592
,Bell,857
,Spring Mistletoe,357
,Blanket,124
,Alchemist Fire,560
,Arrows,981
,Armor,101
,Blanket,703
,Bell,423
,Blowgun Needles,950
,Bell,633
,Amulet,660
,Crossbow Bolts,202
,Rod,708
,Yew Wand,92
,Crossbow Bolts,630
,Blowgun Needles,26
,Armor,530
,Basket,516
,Backpack,257
,Block and Tackle,637
,Arrows,992
,Candle,277
,Sling Bullets,294
,Acid,450
,Basket,104
,Spring Mistletoe,733
,Crossbow Bolts,388
,Crystal,442
,Crossbow Bolts,860
,Acid,793
,Blowgun Needles,302
,Alchemist Fire,935
,Alchemist Fire,224
,Amulet,351
,Yew Wand,91
,Spring Mistletoe,534
,Crossbow Bolts,529
,Acid,701
,Backpack,54
,Candle,819
,Backpack,40
,Armor,737
,Alchemist Fire,735
,Abacus,544
,Abacus,151
,Amulet,487
,Candle,380
,Weapon,378
,Arrows,408
,Backpack,444
,Crossbow Bolts,954
,Armor,264
,Rod,981
,Acid,567
,Weapon,749
,Candle,550
,Barrel,762
,Reliquary,556
,Crossbow Bolts,602
,Reliquary,948
,Ball Bearings,695
,Amulet,508
,Treasure,857
,Armor,348
,Totem,114
,Wooden Staff,166
,Block and Tackle,518
,Amulet,311
,Wooden Staff,371
,Blanket,153
,Ball Bearings,967
,Treasure,18
,Basket,169
,Ball Bearings,244
,Staff,246
,Blowgun Needles,300
,Yew Wand,139
,Wooden Staff,268
,Block and Tackle,122
,Alchemist Fire,776
,Blowgun Needles,805
,Sling Bullets,950
,Rod,249
,Sling Bullets,703
,Arrows,326
,Wooden Staff,179
,Amulet,742
,Totem,915
,Emblem,737
,Emblem,404
,Emblem,639
,Blowgun Needles,477
,Weapon,885
,Emblem,694
,Barrel,539
,Backpack,327
,Staff,94
,Block and Tackle,520
,Wand,432
,Staff,164
,Wooden Staff,213
,Crystal,991
,Totem,212
,Abacus,855
,Crystal,804
,Amulet,280
,Staff,926
,Rod,541
,Ball Bearings,705
,Backpack,900
,Reliquary,803
,Abacus,26
,Basket,662
,Bedroll,678
,Abacus,727
,Alchemist Fire,885
,Blowgun Needles,136
,Wooden Staff,280
,Barrel,554
,Weapon,547
,Alchemist Fire,943
,Acid,698
,Abacus,449
,Abacus,874
,Treasure,215
,Ball Bearings,207
,Reliquary,270
,Blanket,474
,Reliquary,348
,Bell,284
,Alchemist Fire,444
,Emblem,215
,Candle,169
,Orb,465
,Treasure,448
,Sling Bullets,964
,Reliquary,696
,Treasure,870
,Reliquary,798
,Antitoxin,11
,Yew Wand,318
,Emblem,966
,Sling Bullets,915
,Emblem,201
,Abacus,408
,Orb,175
,Treasure,201
,Basket,878
,Amulet,200
,Candle,269
,Blanket,117
,Crystal,741
,Yew Wand,309
,Blanket,963
,Treasure,458
,Candle,422
,Totem,248
,Wooden Staff,149
,Rod,358
,Amulet,680
,Totem,420
,Wooden Staff,316
,Alchemist Fire,354
,Block and Tackle,571
,Abacus,247
,Yew Wand,366
,Acid,975
,Ball Bearings,856
,Yew Wand,786
,Totem,478
,Rod,71
,Bell,29
,Armor,780
,Backpack,428
,Alchemist Fire,496
,Blowgun Needles,587
,Bell,245
,Totem,997
,Crystal,515
,Acid,119
,Amulet,966
,Wooden Staff,820
,Bell,190
,Blanket,200
,Arrows,523
,Block and Tackle,188
,Antitoxin,714
,Weapon,634
,Basket,296
,Treasure,175
,Block and Tackle,766
,Bell,349
,Rod,12
,Backpack,135
,Antitoxin,252
,Bedroll,513
,Weapon,5
,Sling Bullets,812
,Acid,978
,Yew Wand,274
,Barrel,351
,Abacus,965
,Rod,151
,Wooden Staff,441
,Acid,606
,Blanket,308
,Acid,164
,Emblem,648
,Ball Bearings,488
,Wooden Staff,974
,Alchemist Fire,836
,Staff,689
,Arrows,532
,Weapon,438
,Block and Tackle,226
,Arrows,713
,Amulet,711
,Arrows,909
,Wooden Staff,263
,Yew Wand,664
,Barrel,849
,Yew Wand,736
,Crystal,275
,Blanket,438
,Barrel,752
,Emblem,973
,Yew Wand,313
,Ball Bearings,379
,Rod,57
,Blowgun Needles,927
,Block and Tackle,505
,Antitoxin,292
,Orb,458
,Totem,443
,Bell,480
,Armor,768
,Bedroll,655
,Weapon,27
,Blowgun Needles,668
,Backpack,997
,Crystal,61
,Block and Tackle,358
,Reliquary,260
,Antitoxin,574
,Acid,613
,Bell,412
,Reliquary,617
,Bell,55
,Blanket,844
,Crystal,734
,Totem,481
,Blanket,492
,Armor,745
,Arrows,829
,Spring Mistletoe,349
,Acid,43
,Alchemist Fire,811
,Treasure,250
,Yew Wand,258
,Spring Mistletoe,116
,Orb,811
,Alchemist Fire,646
,Abacus,376
,Wand,202
,Crystal,673
,Blanket,309
,Weapon,214
,Basket,759
,Wooden Staff,769
,Backpack,124
,Armor,434
,Alchemist Fire,725
,Abacus,217
,Ball Bearings,524
,Basket,358
,Amulet,729
,Arrows,752
,Bell,622
,Arrows,509
,Yew Wand,746
,Blowgun Needles,760
,Totem,610
,Blowgun Needles,927
,Staff,323
,Treasure,16
,Totem,842
,Spring Mistletoe,767
,Amulet,384
,Basket,616
,Basket,495
,Crossbow Bolts,761
,Alchemist Fire,203
,Acid,426
,Weapon,593
,Backpack,130
,Totem,475
,Wand,678
,Blowgun Needles,429
,Weapon,794
,Staff,975
,Ball Bearings,390
,Abacus,177
,Blanket,123
,Alchemist Fire,887
,Crystal,245
,Basket,628
,Crossbow Bolts,767
,Barrel,698
,Blowgun Needles,3
,Blowgun Needles,48
,Amulet,629
,Bell,529
,Wand,137
,Rod,483
,Acid,77
,Abacus,165
,Abacus,567
,Backpack,194
,Reliquary,310
,Basket,274
,Blowgun Needles,342
,Block and Tackle,31
,Abacus,483
,Antitoxin,57
,Sling Bullets,887
,Yew Wand,7
,Blanket,753
,Crossbow Bolts,747
,Orb,668
,Alchemist Fire,932
,Block and Tackle,603
,Orb,57
,Crystal,175
,Treasure,542
,Emblem,65
,Orb,2
,Yew Wand,177
,Alchemist Fire,814
,Alchemist Fire,907
,Treasure,290
,Orb,246
,Yew Wand,810
,Wooden Staff,40
,Totem,183
,Backpack,722
,Crystal,970
,Crossbow Bolts,940
,Barrel,609
,Abacus,63
,Arrows,496
,Basket,738
,Reliquary,327
,Yew Wand,959
,Totem,403
,Amulet,252
,Alchemist Fire,215
,Treasure,783
,Staff,375
,Block and Tackle,434
,Acid,790
,Blanket,284
,Crystal,678
,Basket,882
,Sling Bullets,258
,Orb,395
,Rod,554
,Emblem,921
,Candle,708
,Bedroll,354
,Backpack,481
,Abacus,497
,Ball Bearings,932
,Rod,567
,Bedroll,789
,Backpack,193
,Crossbow Bolts,506
,Barrel,769
,Wand,56
,Spring Mistletoe,108
,Backpack,108
,Crossbow Bolts,92
,Alchemist Fire,24
,Wand,626
,Candle,519
,Weapon,857
,Block and Tackle,618
,Reliquary,566
,Yew Wand,260
,Staff,636
,Rod,265
,Weapon,671
,Blowgun Needles,841
,Wand,897
,Abacus,691
,Weapon,334
,Candle,30
,Spring Mistletoe,118
,Wand,596
,Acid,609
,Arrows,505
,Staff,944
,Barrel,858
,Acid,559
,Blowgun Needles,176
,Basket,497
,Crossbow Bolts,199
,Reliquary,497
,Wand,227
,Rod,658
,Blanket,449
,Emblem,18
,Arrows,744
,Treasure,942
,Ball Bearings,401
,Ball Bearings,297
,Emblem,454
,Reliquary,640
,Armor,15
,Emblem,575
,Abacus,642
,Barrel,804
,Wand,950
,Acid,791
,Barrel,350
,Bell,116
,Antitoxin,28
,Rod,156
