Race_ID,Race_Name,Size,Language,Abilities,Traits,Sub_races
,High Elf,Medium,Deep Speech,Thievery,Nature Resistence,Titanborn
,Stout Halfling,Small,Primordial,Heal,Stone Form,Sunfire Elf
,Human,Gargantuan,Orc,Stealth, Expansive Mind,Firebeard Dwarf
,Variant,Tiny,Infernal,Religion,Gift of the Naaru, Zombie
,Dragonborn,Tiny,Druidic,Dungeoneering,Frost Resistance,Half Dragon
,Scourge Aasimar,Gargantuan,Giant,Dungeoneering,Shadow Resistence, Zombie
,High Elf,Small,Terran,Stealth,Heroic Presence,Volcano Dwarf
,Tiefling,Huge,Abyssal,Arcana,Elusivness,Holy Elf
,Tiefling,Large,Abyssal,Streetwise,Gem Cutting,Brae Dwarf
,Fire Genasi,Large,Draconic,Arcana,Might of the Mountain,Reaper Aasimar
,Half-Orc,Tiny,Goblin,Arcana, Shadow Meld,Firebeard Dwarf
,Wood Elf,Huge,Gnoll,Athletics,Nature Resistence, Zombie
,Human,Huge,Goblin,Stealth,The Human Spirit,Reaper Aasimar
,Hill Dwarf,Tiny,Common,Diplomacy,Explorer,Arcadian
,Tiefling,Medium,Celestial,Religion,Nimble Fingers,Half Dragon
,Wood Elf,Gargantuan,Dravish,Nature,Gift of the Naaru,Firebeard Dwarf
,Kenku,Medium,Goblin,Thievery,Escape Artist,Mothra Aasimar
,Orc,Large,Halfling,Intimidate,Gem Cutting,Brae Dwarf
,Bugbear,Small,Auran,Bluff,Heroic Presence,Volcano Dwarf
,Forest Gnome,Large,Deep Speech,Athletics,Wisp Spirit,Dragon Elf
,Warforged,Small,Gnoll,Thievery,The Human Spirit,Half-Celestial
,Human,Gargantuan,Orc,Heal,Quickness,Deep Dwarf
,Hill Dwarf,Huge,Gnoll,Heal,Nimble Fingers,Crystal Born
,Wood Elf,Gargantuan,Terran,Religion,Engineering Specialist,Half-Celestial
,Tiefling,Tiny,Aquan,Streetwise,Draenei,Dragon Elf
,Human,Small,Abyssal,Arcana,Draenei,Dragon Elf
,Half-Orc,Huge,Gnoll,Streetwise,Gem Cutting, Burly Halfling
,Stout Halfling,Huge,Auran,Streetwise,Quickness,Winger Aasimar
,Half-Elf,Small,Orc,Heal,Quickness,Elemental Born
,Dragonborn,Large,Goblin,Insight,Escape Artist,Firebeard Dwarf
,Half-Elf,Huge,Giant,Thievery,Arcane Resistance,Winger Aasimar
,Wood Elf,Medium,Druidic,Thievery,Diplomacy,Arcadian
,Lightfoot Halfling,Tiny,Abyssal,Intimidate,Stone Form,Half-Celestial
,Human,Tiny,Aquan,Insight,Stone Form,Firebeard Dwarf
,Lightfoot Halfling,Large,Deep Speech,Endurance,Touch of Elune,Crystal Born
