Spell_ID,Spell_Name,Type,Level,Components,Range,Duration,Casting_Time
,Animal Messenger,Necromancy,6,v,90,120,10
,Arcane Sword,Divination,6,v s,0,30,1
,Arcane Lock,Transmutation,2,s,30,30,0
,Animate dead,Transmutation,7,s,60,60,1
,Animal Messenger,Enchantment,2,v s m,90,90,8
,Alarm,Evocation,9,m,30,90,0
,Arcane Hand,Abjuration,4,v,30,0,0
,Hideous Laughter,Transmutation,1,v,60,30,8
,Fireball,Conjuration,5,s,60,30,8
,Sequester,Conjuration,4,v s m,30,60,8
,Bane,Evocation,4,v s m,0,90,8
,Arcane Hand,Transmutation,3,s,120,30,8
,Fly,Divination,6,s,0,60,8
,Arcane Hand,Conjuration,4,v,0,60,10
,Arcane Lock,Illusions,4,v s,90,90,8
,Antlife Shell,Evocation,10,s,60,30,8
,Haste,Evocation,1,v,60,30,8
,Animal Messenger,Transmutation,10,v,30,0,10
,Animal Messenger,Evocation,2,m,0,0,10
,Beacon of Hope,Illusions,7,s,0,30,10
,Fireball,Conjuration,6,s,30,120,0
,Arcane Lock,Divination,3,v s m,90,60,1
,Arcane Lock,Transmutation,1,v,60,60,8
,Fireball,Abjuration,9,m,90,90,0
,Animal Shape,Enchantment,4,s,60,0,0
,Banishment,Abjuration,4,s,30,60,10
,Acid Splash,Transmutation,5,s,90,120,0
,Antimagic Field,Illusions,1,s,0,120,1
,Acid Arrow,Abjuration,6,v s,30,60,10
,Haste,Transmutation,7,m,90,30,1
,Bane,Necromancy,3,s,0,0,1
,Antipathy Sympathy,Transmutation,9,v s m,90,30,10
,Harm,Transmutation,6,v s m,90,0,10
,Aid,Enchantment,8,v,120,30,8
,Antimagic Field,Conjuration,10,v s m,120,60,8
,Prismatic Wall,Conjuration,4,s,120,120,1
,Fireball,Transmutation,3,v s m,30,90,10
,Gust of Wind,Abjuration,6,v,120,0,1
,Animal Messenger,Transmutation,4,v s,60,60,10
,Animal Friendship,Evocation,8,s,60,120,0
,Acid Arrow,Necromancy,3,s,60,60,1
,Clone,Enchantment,5,v s m,120,90,10
,Gust of Wind,Enchantment,9,v s m,30,30,1
,Fireball,Abjuration,6,s,30,90,0
,Fly,Illusions,1,v,120,120,8
,Acid Splash,Necromancy,6,v s m,90,0,8
,Acid Arrow,Evocation,9,v s,120,60,0
,Enthrall,Abjuration,9,v,30,90,0
,Alter Self,Transmutation,1,m,0,60,10
,Rope Trick,Illusions,5,s,0,90,0
,Fly,Transmutation,7,v s,60,0,10
,Antipathy Sympathy,Necromancy,1,v s m,60,120,8
